wav,txt
fechas2/train/fechas2_000000.en.wav,please next thursday | next_day('thursday')
fechas2/train/fechas2_000058.en.wav,tomorrow thank you | relative_day(+1)
fechas2/train/fechas2_000059.en.wav,tuesday | next_day('tuesday')
fechas2/train/fechas2_000060.en.wav,this friday thank you | next_day('friday')
fechas2/train/fechas2_000061.en.wav,monday thank you | next_day('monday')
fechas2/train/fechas2_000062.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000063.en.wav,please next wednesday | next_day('wednesday')
fechas2/train/fechas2_000064.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000065.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000066.en.wav,this monday thank you | next_day('monday')
fechas2/train/fechas2_000067.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000068.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000069.en.wav,next tuesday thank you | next_day('tuesday')
fechas2/train/fechas2_000070.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000071.en.wav,next friday please | next_day('friday')
fechas2/train/fechas2_000072.en.wav,please this wednesday | next_day('wednesday')
fechas2/train/fechas2_000073.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000074.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000075.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000076.en.wav,please in three days | relative_day(+3)
fechas2/train/fechas2_000077.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000078.en.wav,wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000079.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000080.en.wav,tuesday | next_day('tuesday')
fechas2/train/fechas2_000081.en.wav,this coming friday please | next_day('friday')
fechas2/train/fechas2_000082.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000083.en.wav,the day after tomorrow please | relative_day(+2)
fechas2/train/fechas2_000084.en.wav,next tuesday thanks | next_day('tuesday')
fechas2/train/fechas2_000085.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000086.en.wav,tuesday thank you. | next_day('tuesday')
fechas2/train/fechas2_000087.en.wav,in a couple of days thanks | relative_day(+2)
fechas2/train/fechas2_000088.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000089.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000090.en.wav,the following thursday | next_day('thursday')
fechas2/train/fechas2_000091.en.wav,next monday please | next_day('monday')
fechas2/train/fechas2_000092.en.wav,please this friday | next_day('friday')
fechas2/train/fechas2_000093.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000094.en.wav,day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000095.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000096.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000097.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000098.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000099.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000100.en.wav,this friday | next_day('friday')
fechas2/train/fechas2_000101.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000102.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000103.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000104.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000105.en.wav,next wednesday please | next_day('wednesday')
fechas2/train/fechas2_000106.en.wav,day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000107.en.wav,tomorrow | relative_day(+1)
fechas2/train/fechas2_000108.en.wav,thursday thank you | next_day('thursday')
fechas2/train/fechas2_000109.en.wav,this monday thank you | next_day('monday')
fechas2/train/fechas2_000110.en.wav,next friday thank you | next_day('friday')
fechas2/train/fechas2_000111.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000112.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000113.en.wav,friday please | next_day('friday')
fechas2/train/fechas2_000114.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000115.en.wav,please this friday | next_day('friday')
fechas2/train/fechas2_000116.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000117.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000118.en.wav,tuesday please | next_day('tuesday')
fechas2/train/fechas2_000119.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000120.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000121.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000122.en.wav,wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000123.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000124.en.wav,this coming friday thanks | next_day('friday')
fechas2/train/fechas2_000125.en.wav,please this wednesday | next_day('wednesday')
fechas2/train/fechas2_000126.en.wav,please next wednesday | next_day('wednesday')
fechas2/train/fechas2_000127.en.wav,in three days please | relative_day(+3)
fechas2/train/fechas2_000128.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000129.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000130.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000131.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000132.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000133.en.wav,the following tuesday | next_day('tuesday')
fechas2/train/fechas2_000134.en.wav,friday thank you | next_day('friday')
fechas2/train/fechas2_000135.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000136.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000137.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000138.en.wav,in three days please | relative_day(+3)
fechas2/train/fechas2_000139.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000140.en.wav,next monday please | next_day('monday')
fechas2/train/fechas2_000141.en.wav,in three days please | relative_day(+3)
fechas2/train/fechas2_000142.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000143.en.wav,please on wednesday | next_day('wednesday')
fechas2/train/fechas2_000144.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000145.en.wav,next friday thanks | next_day('friday')
fechas2/train/fechas2_000146.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000147.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000148.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000149.en.wav,this coming thursday thanks | next_day('thursday')
fechas2/train/fechas2_000150.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000151.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000152.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000153.en.wav,this wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000154.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000155.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000156.en.wav,this wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000157.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000158.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000159.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000160.en.wav,this monday please | next_day('monday')
fechas2/train/fechas2_000161.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000162.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000163.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000164.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000165.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000166.en.wav,this friday | next_day('friday')
fechas2/train/fechas2_000167.en.wav,please this coming friday | next_day('friday')
fechas2/train/fechas2_000168.en.wav,please this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000169.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000170.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000171.en.wav,please tomorrow | relative_day(+1)
fechas2/train/fechas2_000172.en.wav,the following thursday | next_day('thursday')
fechas2/train/fechas2_000173.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000174.en.wav,this coming tuesday please | next_day('tuesday')
fechas2/train/fechas2_000175.en.wav,this friday thank you | next_day('friday')
fechas2/train/fechas2_000176.en.wav,next tuesday thanks | next_day('tuesday')
fechas2/train/fechas2_000177.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000178.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000179.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000180.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000181.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000182.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000183.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000184.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000185.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000186.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000187.en.wav,tomorrow | relative_day(+1)
fechas2/train/fechas2_000188.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000189.en.wav,please tomorrow | relative_day(+1)
fechas2/train/fechas2_000190.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000191.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000192.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000193.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000194.en.wav,next wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000195.en.wav,this friday | next_day('friday')
fechas2/train/fechas2_000196.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000197.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000198.en.wav,this thursday thank you | next_day('thursday')
fechas2/train/fechas2_000199.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000200.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000201.en.wav,this wednesday please | next_day('wednesday')
fechas2/train/fechas2_000202.en.wav,please on wednesday | next_day('wednesday')
fechas2/train/fechas2_000203.en.wav,tomorrow | relative_day(+1)
fechas2/train/fechas2_000204.en.wav,next tuesday please | next_day('tuesday')
fechas2/train/fechas2_000205.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000206.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000207.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000208.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000209.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000210.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000211.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000212.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000213.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000214.en.wav,tomorrow please | relative_day(+1)
fechas2/train/fechas2_000215.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000216.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000217.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000218.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000219.en.wav,next friday please | next_day('friday')
fechas2/train/fechas2_000220.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000221.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000222.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000223.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000224.en.wav,next thursday thank you | next_day('thursday')
fechas2/train/fechas2_000225.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000226.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000227.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000228.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000229.en.wav,this coming thursday please | next_day('thursday')
fechas2/train/fechas2_000230.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000231.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000232.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000233.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000234.en.wav,this coming friday thanks | next_day('friday')
fechas2/train/fechas2_000235.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000236.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000237.en.wav,this coming wednesday | next_day('wednesday')
fechas2/train/fechas2_000238.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000239.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000240.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000241.en.wav,please next monday | next_day('monday')
fechas2/train/fechas2_000242.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000243.en.wav,in three days thanks | relative_day(+3)
fechas2/train/fechas2_000244.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000245.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000246.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000247.en.wav,please in three days | relative_day(+3)
fechas2/train/fechas2_000248.en.wav,next wednesday thanks | next_day('wednesday')
fechas2/train/fechas2_000249.en.wav,please on friday | next_day('friday')
fechas2/train/fechas2_000250.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000251.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000252.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000253.en.wav,please on tuesday | next_day('tuesday')
fechas2/train/fechas2_000254.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000255.en.wav,in a couple of days thanks | relative_day(+2)
fechas2/train/fechas2_000256.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000257.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000258.en.wav,this coming thursday | next_day('thursday')
fechas2/train/fechas2_000259.en.wav,please next friday | next_day('friday')
fechas2/train/fechas2_000260.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000261.en.wav,next tuesday please | next_day('tuesday')
fechas2/train/fechas2_000262.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000263.en.wav,next wednesday please | next_day('wednesday')
fechas2/train/fechas2_000264.en.wav,in a couple of days thanks | relative_day(+2)
fechas2/train/fechas2_000265.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000266.en.wav,this tuesday thank you | next_day('tuesday')
fechas2/train/fechas2_000267.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000268.en.wav,next friday please | next_day('friday')
fechas2/train/fechas2_000269.en.wav,this wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000270.en.wav,thursday please | next_day('thursday')
fechas2/train/fechas2_000271.en.wav,please next friday | next_day('friday')
fechas2/train/fechas2_000272.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000273.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000274.en.wav,please in three days | relative_day(+3)
fechas2/train/fechas2_000275.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000276.en.wav,this friday | next_day('friday')
fechas2/train/fechas2_000277.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000278.en.wav,next friday please | next_day('friday')
fechas2/train/fechas2_000279.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000280.en.wav,this coming thursday | next_day('thursday')
fechas2/train/fechas2_000281.en.wav,please next monday | next_day('monday')
fechas2/train/fechas2_000282.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000283.en.wav,please this thursday | next_day('thursday')
fechas2/train/fechas2_000284.en.wav,this coming friday thank you | next_day('friday')
fechas2/train/fechas2_000285.en.wav,please next wednesday | next_day('wednesday')
fechas2/train/fechas2_000286.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000287.en.wav,please this thursday | next_day('thursday')
fechas2/train/fechas2_000288.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000289.en.wav,this coming monday | next_day('monday')
fechas2/train/fechas2_000290.en.wav,this monday thank you | next_day('monday')
fechas2/train/fechas2_000291.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000292.en.wav,friday thank you | next_day('friday')
fechas2/train/fechas2_000293.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000294.en.wav,next monday please | next_day('monday')
fechas2/train/fechas2_000295.en.wav,this wednesday please | next_day('wednesday')
fechas2/train/fechas2_000296.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000297.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000298.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000299.en.wav,please this coming friday | next_day('friday')
fechas2/train/fechas2_000300.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000301.en.wav,in three days please | relative_day(+3)
fechas2/train/fechas2_000302.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000303.en.wav,the day after tomorrow thanks | relative_day(+2)
fechas2/train/fechas2_000304.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000305.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000306.en.wav,tomorrow thank you | relative_day(+1)
fechas2/train/fechas2_000307.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000308.en.wav,next thursday thank you | next_day('thursday')
fechas2/train/fechas2_000309.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000310.en.wav,in three days please | relative_day(+3)
fechas2/train/fechas2_000311.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000312.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000313.en.wav,please on thursday | next_day('thursday')
fechas2/train/fechas2_000314.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000315.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000316.en.wav,please on thursday | next_day('thursday')
fechas2/train/fechas2_000317.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000318.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000319.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000320.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000321.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000322.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000323.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000324.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000325.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000326.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000327.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000328.en.wav,this thursday | next_day('thursday')
fechas2/train/fechas2_000329.en.wav,this coming friday | next_day('friday')
fechas2/train/fechas2_000330.en.wav,the following tuesday | next_day('tuesday')
fechas2/train/fechas2_000331.en.wav,please this friday | next_day('friday')
fechas2/train/fechas2_000332.en.wav,please next wednesday | next_day('wednesday')
fechas2/train/fechas2_000333.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000334.en.wav,please next wednesday | next_day('wednesday')
fechas2/train/fechas2_000335.en.wav,next friday thank you | next_day('friday')
fechas2/train/fechas2_000336.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000337.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000338.en.wav,this wednesday please | next_day('wednesday')
fechas2/train/fechas2_000339.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000340.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000341.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000342.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000343.en.wav,please next friday | next_day('friday')
fechas2/train/fechas2_000344.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000345.en.wav,next wednesday please | next_day('wednesday')
fechas2/train/fechas2_000346.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000347.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000348.en.wav,tomorrow thank you | relative_day(+1)
fechas2/train/fechas2_000349.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000350.en.wav,this thursday please | next_day('thursday')
fechas2/train/fechas2_000351.en.wav,this coming thursday | next_day('thursday')
fechas2/train/fechas2_000352.en.wav,friday please | next_day('friday')
fechas2/train/fechas2_000353.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000354.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000355.en.wav,this coming thursday please | next_day('thursday')
fechas2/train/fechas2_000356.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000357.en.wav,please this monday | next_day('monday')
fechas2/train/fechas2_000358.en.wav,wednesday please | next_day('wednesday')
fechas2/train/fechas2_000359.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000360.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000361.en.wav,this coming thursday | next_day('thursday')
fechas2/train/fechas2_000362.en.wav,next thursday please | next_day('thursday')
fechas2/train/fechas2_000363.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000364.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000365.en.wav,this coming thursday | next_day('thursday')
fechas2/train/fechas2_000366.en.wav,tuesday | next_day('tuesday')
fechas2/train/fechas2_000367.en.wav,next thursday thank you | next_day('thursday')
fechas2/train/fechas2_000368.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000369.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000370.en.wav,next wednesday please | next_day('wednesday')
fechas2/train/fechas2_000371.en.wav,monday | next_day('monday')
fechas2/train/fechas2_000372.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000373.en.wav,wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000374.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000375.en.wav,wednesday thank you | next_day('wednesday')
fechas2/train/fechas2_000376.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000377.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000378.en.wav,friday | next_day('friday')
fechas2/train/fechas2_000379.en.wav,this friday thank you | next_day('friday')
fechas2/train/fechas2_000380.en.wav,next wednesday | next_day('wednesday')
fechas2/train/fechas2_000381.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000382.en.wav,in a couple of days thanks | relative_day(+2)
fechas2/train/fechas2_000383.en.wav,thursday | next_day('thursday')
fechas2/train/fechas2_000384.en.wav,please this coming friday | next_day('friday')
fechas2/train/fechas2_000385.en.wav,the following friday | next_day('friday')
fechas2/train/fechas2_000386.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000387.en.wav,next tuesday | next_day('tuesday')
fechas2/train/fechas2_000388.en.wav,next thursday thank you | next_day('thursday')
fechas2/train/fechas2_000389.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000390.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000391.en.wav,tomorrow thank you | relative_day(+1)
fechas2/train/fechas2_000392.en.wav,in three days thanks | relative_day(+3)
fechas2/train/fechas2_000393.en.wav,in three days thanks | relative_day(+3)
fechas2/train/fechas2_000394.en.wav,please this coming thursday | next_day('thursday')
fechas2/train/fechas2_000395.en.wav,next monday please | next_day('monday')
fechas2/train/fechas2_000396.en.wav,this thursday | next_day('thursday')
