wav,txt
fechas2/train/fechas2_000000.es.wav,por favor el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000034.es.wav,el martes | next_day('tuesday')
fechas2/train/fechas2_000035.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000036.es.wav,este miércoles próximo | next_day('wednesday')
fechas2/train/fechas2_000037.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000038.es.wav,este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000039.es.wav,el jueves por favor | next_day('thursday')
fechas2/train/fechas2_000040.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000041.es.wav,este lunes que viene por favor | next_day('monday')
fechas2/train/fechas2_000042.es.wav,en tres días gracias | relative_day(+3)
fechas2/train/fechas2_000043.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000044.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000045.es.wav,este viernes | next_day('friday')
fechas2/train/fechas2_000046.es.wav,el próximo viernes gracias | next_day('friday')
fechas2/train/fechas2_000047.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000048.es.wav,este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000049.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000050.es.wav,el viernes próximo | next_day('friday')
fechas2/train/fechas2_000051.es.wav,en tres días gracias | relative_day(+3)
fechas2/train/fechas2_000052.es.wav,por favor este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000053.es.wav,el miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000054.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000055.es.wav,por favor este lunes siguiente | next_day('monday')
fechas2/train/fechas2_000056.es.wav,el martes gracias | next_day('tuesday')
fechas2/train/fechas2_000057.es.wav,el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000058.es.wav,mañana gracias | relative_day(+1)
fechas2/train/fechas2_000059.es.wav,el martes | next_day('tuesday')
fechas2/train/fechas2_000060.es.wav,este viernes gracias | next_day('friday')
fechas2/train/fechas2_000061.es.wav,el lunes gracias | next_day('monday')
fechas2/train/fechas2_000062.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000063.es.wav,por favor el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000064.es.wav,el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000065.es.wav,el jueves que viene | next_day('thursday')
fechas2/train/fechas2_000066.es.wav,este lunes gracias | next_day('monday')
fechas2/train/fechas2_000067.es.wav,este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000068.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000069.es.wav,el próximo martes gracias | next_day('tuesday')
fechas2/train/fechas2_000070.es.wav,el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000071.es.wav,el próximo viernes por favor | next_day('friday')
fechas2/train/fechas2_000072.es.wav,por favor este miércoles | next_day('wednesday')
fechas2/train/fechas2_000073.es.wav,el siguiente miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000074.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000075.es.wav,este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000076.es.wav,por favor en tres días | relative_day(+3)
fechas2/train/fechas2_000077.es.wav,el viernes que viene | next_day('friday')
fechas2/train/fechas2_000078.es.wav,el miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000079.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000080.es.wav,el martes | next_day('tuesday')
fechas2/train/fechas2_000081.es.wav,este viernes que viene por favor | next_day('friday')
fechas2/train/fechas2_000082.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000083.es.wav,pasado mañana por favor | relative_day(+2)
fechas2/train/fechas2_000084.es.wav,este martes siguiente gracias | next_day('tuesday')
fechas2/train/fechas2_000085.es.wav,este lunes siguiente | next_day('monday')
fechas2/train/fechas2_000086.es.wav,el martes gracias | next_day('tuesday')
fechas2/train/fechas2_000087.es.wav,en un par de días gracias | relative_day(+2)
fechas2/train/fechas2_000088.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000089.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000090.es.wav,el jueves siguiente | next_day('thursday')
fechas2/train/fechas2_000091.es.wav,el lunes siguiente por favor | next_day('monday')
fechas2/train/fechas2_000092.es.wav,por favor este viernes | next_day('friday')
fechas2/train/fechas2_000093.es.wav,por favor el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000094.es.wav,por favor pasado mañana | relative_day(+2)
fechas2/train/fechas2_000095.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000096.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000097.es.wav,el siguiente martes gracias | next_day('tuesday')
fechas2/train/fechas2_000098.es.wav,este martes que viene | next_day('tuesday')
fechas2/train/fechas2_000099.es.wav,el martes que viene | next_day('tuesday')
fechas2/train/fechas2_000100.es.wav,este viernes | next_day('friday')
fechas2/train/fechas2_000101.es.wav,el viernes que viene | next_day('friday')
fechas2/train/fechas2_000102.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000103.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000104.es.wav,este viernes que viene | next_day('friday')
fechas2/train/fechas2_000105.es.wav,el miércoles siguiente por favor | next_day('wednesday')
fechas2/train/fechas2_000106.es.wav,por favor pasado mañana | relative_day(+2)
fechas2/train/fechas2_000107.es.wav,mañana | relative_day(+1)
fechas2/train/fechas2_000108.es.wav,el jueves gracias | next_day('thursday')
fechas2/train/fechas2_000109.es.wav,este lunes gracias | next_day('monday')
fechas2/train/fechas2_000110.es.wav,el próximo viernes gracias | next_day('friday')
fechas2/train/fechas2_000111.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000112.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000113.es.wav,el viernes por favor | next_day('friday')
fechas2/train/fechas2_000114.es.wav,el lunes próximo | next_day('monday')
fechas2/train/fechas2_000115.es.wav,por favor este viernes | next_day('friday')
fechas2/train/fechas2_000116.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000117.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000118.es.wav,el martes por favor | next_day('tuesday')
fechas2/train/fechas2_000119.es.wav,el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000120.es.wav,el jueves que viene | next_day('thursday')
fechas2/train/fechas2_000121.es.wav,el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000122.es.wav,el miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000123.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000124.es.wav,este viernes siguiente gracias | next_day('friday')
fechas2/train/fechas2_000125.es.wav,por favor este miércoles | next_day('wednesday')
fechas2/train/fechas2_000126.es.wav,por favor el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000127.es.wav,en tres días por favor | relative_day(+3)
fechas2/train/fechas2_000128.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000129.es.wav,el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000130.es.wav,este viernes que viene | next_day('friday')
fechas2/train/fechas2_000131.es.wav,el siguiente jueves por favor | next_day('thursday')
fechas2/train/fechas2_000132.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000133.es.wav,el martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000134.es.wav,el viernes gracias | next_day('friday')
fechas2/train/fechas2_000135.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000136.es.wav,el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000137.es.wav,el siguiente miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000138.es.wav,en tres días por favor | relative_day(+3)
fechas2/train/fechas2_000139.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000140.es.wav,el próximo lunes por favor | next_day('monday')
fechas2/train/fechas2_000141.es.wav,en tres días por favor | relative_day(+3)
fechas2/train/fechas2_000142.es.wav,este lunes siguiente | next_day('monday')
fechas2/train/fechas2_000143.es.wav,por favor el miércoles | next_day('wednesday')
fechas2/train/fechas2_000144.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000145.es.wav,el viernes siguiente gracias | next_day('friday')
fechas2/train/fechas2_000146.es.wav,el jueves | next_day('thursday')
fechas2/train/fechas2_000147.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000148.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000149.es.wav,este jueves que viene gracias | next_day('thursday')
fechas2/train/fechas2_000150.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000151.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000152.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000153.es.wav,este miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000154.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000155.es.wav,el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000156.es.wav,este miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000157.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000158.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000159.es.wav,el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000160.es.wav,este lunes por favor | next_day('monday')
fechas2/train/fechas2_000161.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000162.es.wav,el próximo lunes | next_day('monday')
fechas2/train/fechas2_000163.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000164.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000165.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000166.es.wav,este viernes | next_day('friday')
fechas2/train/fechas2_000167.es.wav,por favor este viernes próximo | next_day('friday')
fechas2/train/fechas2_000168.es.wav,por favor este martes próximo | next_day('tuesday')
fechas2/train/fechas2_000169.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000170.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000171.es.wav,por favor mañana | relative_day(+1)
fechas2/train/fechas2_000172.es.wav,el jueves siguiente | next_day('thursday')
fechas2/train/fechas2_000173.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000174.es.wav,este martes siguiente por favor | next_day('tuesday')
fechas2/train/fechas2_000175.es.wav,este viernes gracias | next_day('friday')
fechas2/train/fechas2_000176.es.wav,el martes siguiente gracias | next_day('tuesday')
fechas2/train/fechas2_000177.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000178.es.wav,este martes que viene | next_day('tuesday')
fechas2/train/fechas2_000179.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000180.es.wav,el jueves próximo por favor | next_day('thursday')
fechas2/train/fechas2_000181.es.wav,el siguiente jueves por favor | next_day('thursday')
fechas2/train/fechas2_000182.es.wav,el lunes próximo | next_day('monday')
fechas2/train/fechas2_000183.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000184.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000185.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000186.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000187.es.wav,mañana | relative_day(+1)
fechas2/train/fechas2_000188.es.wav,el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000189.es.wav,por favor mañana | relative_day(+1)
fechas2/train/fechas2_000190.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000191.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000192.es.wav,el viernes próximo | next_day('friday')
fechas2/train/fechas2_000193.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000194.es.wav,el próximo miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000195.es.wav,este viernes | next_day('friday')
fechas2/train/fechas2_000196.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000197.es.wav,el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000198.es.wav,este jueves gracias | next_day('thursday')
fechas2/train/fechas2_000199.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000200.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000201.es.wav,este miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000202.es.wav,por favor el miércoles | next_day('wednesday')
fechas2/train/fechas2_000203.es.wav,mañana | relative_day(+1)
fechas2/train/fechas2_000204.es.wav,el siguiente martes por favor | next_day('tuesday')
fechas2/train/fechas2_000205.es.wav,este lunes que viene | next_day('monday')
fechas2/train/fechas2_000206.es.wav,el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000207.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000208.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000209.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000210.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000211.es.wav,el jueves | next_day('thursday')
fechas2/train/fechas2_000212.es.wav,por favor el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000213.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000214.es.wav,mañana por favor | relative_day(+1)
fechas2/train/fechas2_000215.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000216.es.wav,el martes próximo | next_day('tuesday')
fechas2/train/fechas2_000217.es.wav,el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000218.es.wav,el miércoles | next_day('wednesday')
fechas2/train/fechas2_000219.es.wav,el próximo viernes por favor | next_day('friday')
fechas2/train/fechas2_000220.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000221.es.wav,el próximo lunes | next_day('monday')
fechas2/train/fechas2_000222.es.wav,el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000223.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000224.es.wav,el siguiente jueves gracias | next_day('thursday')
fechas2/train/fechas2_000225.es.wav,el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000226.es.wav,el jueves que viene | next_day('thursday')
fechas2/train/fechas2_000227.es.wav,el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000228.es.wav,el martes que viene | next_day('tuesday')
fechas2/train/fechas2_000229.es.wav,este jueves que viene por favor | next_day('thursday')
fechas2/train/fechas2_000230.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000231.es.wav,el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000232.es.wav,el siguiente viernes | next_day('friday')
fechas2/train/fechas2_000233.es.wav,por favor el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000234.es.wav,este viernes siguiente gracias | next_day('friday')
fechas2/train/fechas2_000235.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000236.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000237.es.wav,este miércoles siguiente | next_day('wednesday')
fechas2/train/fechas2_000238.es.wav,el miércoles que viene | next_day('wednesday')
fechas2/train/fechas2_000239.es.wav,este lunes que viene | next_day('monday')
fechas2/train/fechas2_000240.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000241.es.wav,por favor el lunes que viene | next_day('monday')
fechas2/train/fechas2_000242.es.wav,el jueves próximo | next_day('thursday')
fechas2/train/fechas2_000243.es.wav,en tres días gracias | relative_day(+3)
fechas2/train/fechas2_000244.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000245.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000246.es.wav,el jueves que viene | next_day('thursday')
fechas2/train/fechas2_000247.es.wav,por favor en tres días | relative_day(+3)
fechas2/train/fechas2_000248.es.wav,este miércoles siguiente gracias | next_day('wednesday')
fechas2/train/fechas2_000249.es.wav,por favor el viernes | next_day('friday')
fechas2/train/fechas2_000250.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000251.es.wav,por favor el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000252.es.wav,este viernes próximo | next_day('friday')
fechas2/train/fechas2_000253.es.wav,por favor el martes | next_day('tuesday')
fechas2/train/fechas2_000254.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000255.es.wav,en un par de días gracias | relative_day(+2)
fechas2/train/fechas2_000256.es.wav,el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000257.es.wav,por favor el martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000258.es.wav,este jueves próximo | next_day('thursday')
fechas2/train/fechas2_000259.es.wav,por favor el viernes próximo | next_day('friday')
fechas2/train/fechas2_000260.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000261.es.wav,el próximo martes por favor | next_day('tuesday')
fechas2/train/fechas2_000262.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000263.es.wav,el siguiente miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000264.es.wav,en un par de días gracias | relative_day(+2)
fechas2/train/fechas2_000265.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000266.es.wav,este martes gracias | next_day('tuesday')
fechas2/train/fechas2_000267.es.wav,el siguiente miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000268.es.wav,el próximo viernes por favor | next_day('friday')
fechas2/train/fechas2_000269.es.wav,este miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000270.es.wav,el jueves por favor | next_day('thursday')
fechas2/train/fechas2_000271.es.wav,por favor el próximo viernes | next_day('friday')
fechas2/train/fechas2_000272.es.wav,el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000273.es.wav,este martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000274.es.wav,por favor en tres días | relative_day(+3)
fechas2/train/fechas2_000275.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000276.es.wav,este viernes | next_day('friday')
fechas2/train/fechas2_000277.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000278.es.wav,el próximo viernes por favor | next_day('friday')
fechas2/train/fechas2_000279.es.wav,este viernes próximo | next_day('friday')
fechas2/train/fechas2_000280.es.wav,este jueves que viene | next_day('thursday')
fechas2/train/fechas2_000281.es.wav,por favor el lunes próximo | next_day('monday')
fechas2/train/fechas2_000282.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000283.es.wav,por favor este jueves | next_day('thursday')
fechas2/train/fechas2_000284.es.wav,este viernes próximo gracias | next_day('friday')
fechas2/train/fechas2_000285.es.wav,por favor el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000286.es.wav,el jueves | next_day('thursday')
fechas2/train/fechas2_000287.es.wav,por favor este jueves | next_day('thursday')
fechas2/train/fechas2_000288.es.wav,este lunes próximo | next_day('monday')
fechas2/train/fechas2_000289.es.wav,este lunes que viene | next_day('monday')
fechas2/train/fechas2_000290.es.wav,este lunes gracias | next_day('monday')
fechas2/train/fechas2_000291.es.wav,este martes próximo | next_day('tuesday')
fechas2/train/fechas2_000292.es.wav,el viernes gracias | next_day('friday')
fechas2/train/fechas2_000293.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000294.es.wav,el próximo lunes por favor | next_day('monday')
fechas2/train/fechas2_000295.es.wav,este miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000296.es.wav,el viernes próximo | next_day('friday')
fechas2/train/fechas2_000297.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000298.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000299.es.wav,por favor este viernes siguiente | next_day('friday')
fechas2/train/fechas2_000300.es.wav,por favor el siguiente martes | next_day('tuesday')
fechas2/train/fechas2_000301.es.wav,en tres días por favor | relative_day(+3)
fechas2/train/fechas2_000302.es.wav,el siguiente miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000303.es.wav,pasado mañana gracias | relative_day(+2)
fechas2/train/fechas2_000304.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000305.es.wav,el lunes que viene | next_day('monday')
fechas2/train/fechas2_000306.es.wav,mañana gracias | relative_day(+1)
fechas2/train/fechas2_000307.es.wav,el jueves que viene por favor | next_day('thursday')
fechas2/train/fechas2_000308.es.wav,el jueves siguiente gracias | next_day('thursday')
fechas2/train/fechas2_000309.es.wav,el siguiente viernes | next_day('friday')
fechas2/train/fechas2_000310.es.wav,en tres días por favor | relative_day(+3)
fechas2/train/fechas2_000311.es.wav,el próximo jueves | next_day('thursday')
fechas2/train/fechas2_000312.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000313.es.wav,por favor el jueves | next_day('thursday')
fechas2/train/fechas2_000314.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000315.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000316.es.wav,por favor el jueves | next_day('thursday')
fechas2/train/fechas2_000317.es.wav,este viernes que viene | next_day('friday')
fechas2/train/fechas2_000318.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000319.es.wav,el viernes próximo | next_day('friday')
fechas2/train/fechas2_000320.es.wav,por favor el martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000321.es.wav,el jueves próximo gracias | next_day('thursday')
fechas2/train/fechas2_000322.es.wav,el siguiente jueves por favor | next_day('thursday')
fechas2/train/fechas2_000323.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000324.es.wav,el próximo jueves | next_day('thursday')
fechas2/train/fechas2_000325.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000326.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000327.es.wav,el lunes que viene | next_day('monday')
fechas2/train/fechas2_000328.es.wav,este jueves | next_day('thursday')
fechas2/train/fechas2_000329.es.wav,este viernes próximo | next_day('friday')
fechas2/train/fechas2_000330.es.wav,el martes siguiente | next_day('tuesday')
fechas2/train/fechas2_000331.es.wav,por favor este viernes | next_day('friday')
fechas2/train/fechas2_000332.es.wav,por favor el siguiente miércoles | next_day('wednesday')
fechas2/train/fechas2_000333.es.wav,el jueves | next_day('thursday')
fechas2/train/fechas2_000334.es.wav,por favor el próximo miércoles | next_day('wednesday')
fechas2/train/fechas2_000335.es.wav,el siguiente viernes gracias | next_day('friday')
fechas2/train/fechas2_000336.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000337.es.wav,el próximo lunes | next_day('monday')
fechas2/train/fechas2_000338.es.wav,este miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000339.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000340.es.wav,el jueves | next_day('thursday')
fechas2/train/fechas2_000341.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000342.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000343.es.wav,por favor el viernes que viene | next_day('friday')
fechas2/train/fechas2_000344.es.wav,el siguiente jueves por favor | next_day('thursday')
fechas2/train/fechas2_000345.es.wav,el siguiente miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000346.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000347.es.wav,el viernes | next_day('friday')
fechas2/train/fechas2_000348.es.wav,mañana gracias | relative_day(+1)
fechas2/train/fechas2_000349.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000350.es.wav,este jueves por favor | next_day('thursday')
fechas2/train/fechas2_000351.es.wav,este jueves que viene | next_day('thursday')
fechas2/train/fechas2_000352.es.wav,el viernes por favor | next_day('friday')
fechas2/train/fechas2_000353.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000354.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000355.es.wav,este jueves siguiente por favor | next_day('thursday')
fechas2/train/fechas2_000356.es.wav,en un par de días por favor | relative_day(+2)
fechas2/train/fechas2_000357.es.wav,por favor este lunes | next_day('monday')
fechas2/train/fechas2_000358.es.wav,el miércoles por favor | next_day('wednesday')
fechas2/train/fechas2_000359.es.wav,el miércoles que viene | next_day('wednesday')
fechas2/train/fechas2_000360.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000361.es.wav,este jueves que viene | next_day('thursday')
fechas2/train/fechas2_000362.es.wav,el jueves que viene por favor | next_day('thursday')
fechas2/train/fechas2_000363.es.wav,el siguiente viernes | next_day('friday')
fechas2/train/fechas2_000364.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000365.es.wav,este jueves que viene | next_day('thursday')
fechas2/train/fechas2_000366.es.wav,el martes | next_day('tuesday')
fechas2/train/fechas2_000367.es.wav,el próximo jueves gracias | next_day('thursday')
fechas2/train/fechas2_000368.es.wav,el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000369.es.wav,el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000370.es.wav,el miércoles próximo por favor | next_day('wednesday')
fechas2/train/fechas2_000371.es.wav,el lunes | next_day('monday')
fechas2/train/fechas2_000372.es.wav,el viernes que viene | next_day('friday')
fechas2/train/fechas2_000373.es.wav,el miércoles gracias | next_day('wednesday')
fechas2/train/fechas2_000374.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000375.es.wav,el miércoles gracias | next_day('wednesday')
